et%1:06:00:: , correct is target%1:09:00::
correct wsd for target.n.bnc.1447 target%1:10:00::
correct 6 | total 102
incorrect wsd for competition.n.bnc.4991 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Finance.2052 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2065 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.5014 competition%1:04:00::
correct 860 | total 6839
incorrect wsd for competition.n.Finance.2075 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2118 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5032 | found competition%1:24:01:: , correct is competition%1:04:00::
incorrect wsd for competition.n.Finance.2110 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2136 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5091 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2171 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2166 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.5120 competition%1:04:00::
correct 861 | total 6848
incorrect wsd for competition.n.Finance.2175 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2287 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5122 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2236 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2336 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5201 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.Finance.2302 competition%1:24:01::
correct 862 | total 6855
incorrect wsd for competition.n.Sports.2401 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5202 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2325 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2440 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.5263 competition%1:24:01::
correct 863 | total 6860
correct wsd for competition.n.Finance.2394 competition%1:24:01::
correct 864 | total 6861
incorrect wsd for competition.n.Sports.2457 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5368 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.Finance.2408 competition%1:24:01::
correct 865 | total 6864
incorrect wsd for competition.n.Sports.2504 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5369 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2445 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2530 | found not found , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5371 | found competition%1:04:00:: , correct is competition%1:24:01::
correct wsd for competition.n.Finance.2512 competition%1:04:00::
correct 866 | total 6870
incorrect wsd for competition.n.Sports.2574 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5488 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2528 | found competition%1:04:00:: , correct is competition%1:18:00::
incorrect wsd for competition.n.Sports.2595 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5602 | found competition%1:04:00:: , correct is competition%1:18:00::
incorrect wsd for competition.n.Finance.2539 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2618 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.5738 competition%1:24:01::
correct 867 | total 6878
correct wsd for competition.n.Finance.2606 competition%1:24:01::
correct 868 | total 6879
incorrect wsd for competition.n.Sports.2633 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5808 | found competition%1:04:00:: , correct is competition%1:24:01::
correct wsd for competition.n.Finance.2626 competition%1:24:01::
correct 869 | total 6882
incorrect wsd for competition.n.Sports.2641 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.Finance.2643 competition%1:24:01::
correct 870 | total 6885
incorrect wsd for competition.n.Sports.2647 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.5842 competition%1:04:00::
correct 871 | total 6887
correct wsd for competition.n.Finance.2658 competition%1:24:01::
correct 872 | total 6888
incorrect wsd for competition.n.Sports.2655 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.5982 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.Finance.2682 competition%1:04:00::
correct 873 | total 6891
incorrect wsd for competition.n.Sports.2657 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6101 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Finance.2735 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2658 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6154 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2736 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2735 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6157 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2738 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2753 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.bnc.6167 competition%1:04:00::
correct 874 | total 6902
incorrect wsd for competition.n.Finance.2761 | found competition%1:24:01:: , correct is competition%1:04:00::
incorrect wsd for competition.n.Sports.2757 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6211 | found competition%1:24:01:: , correct is competition%1:04:00::
incorrect wsd for competition.n.Finance.2797 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2783 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6331 | found competition%1:04:00:: , correct is competition%1:11:00::
correct wsd for competition.n.Finance.2806 competition%1:24:01::
correct 875 | total 6909
incorrect wsd for competition.n.Sports.2800 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.bnc.6407 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for competition.n.Finance.2846 | found competition%1:04:00:: , correct is competition%1:24:01::
incorrect wsd for competition.n.Sports.2805 | found competition%1:04:00:: , correct is competition%1:11:00::
incorrect wsd for country.n.bnc.1038 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.332 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.56 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.1173 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.646 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.71 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.1360 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.893 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.102 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.1429 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.1241 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.110 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.1440 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.2498 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.111 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.1598 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.3494 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.113 | found not found , correct is country%1:15:00::
incorrect wsd for country.n.bnc.2221 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.3509 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.130 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2223 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.3622 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.141 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2385 | found country-style%5:00:00:rural:00 , correct is country%1:15:02::
incorrect wsd for country.n.Finance.4244 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.142 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2501 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.4479 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.148 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2598 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.5840 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.150 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2616 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.6538 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.155 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.2789 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.6824 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.156 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.2896 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.8865 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.168 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3091 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.8929 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.199 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3115 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.Finance.9263 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.256 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3177 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.9912 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.271 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3266 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.10125 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.282 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3421 | found country-style%5:00:00:rural:00 , correct is country%1:15:00::
incorrect wsd for country.n.Finance.10547 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.334 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.3435 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.11485 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.351 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3572 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.11928 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.358 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.3812 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.12673 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.363 | found country-style%5:00:00:rural:00 , correct is country%1:14:00::
incorrect wsd for country.n.bnc.4086 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.12742 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.375 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.4322 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.13337 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.379 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.5062 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.13719 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.392 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.5646 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.13908 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.402 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.5656 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.14942 | found not found , correct is country%1:14:00::
linkup key country.n.Sports.422 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.5750 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.15244 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.557 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.5952 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.15350 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.559 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.6007 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.15571 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.568 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.6895 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.15667 | found area%1:15:01:: , correct is country%1:14:00::
linkup key country.n.Sports.584 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.7040 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.16236 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.595 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.7042 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.16461 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.602 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.7570 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.16606 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.621 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.7655 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.16817 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.664 | found state%1:14:00:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.7933 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.17335 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.694 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.8071 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.18127 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.728 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.8648 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.18128 | found not found , correct is country%1:14:00::
linkup key country.n.Sports.757 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.8705 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.Finance.18585 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.787 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.8714 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.19539 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.835 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.8878 | found country-style%5:00:00:rural:00 , correct is country%1:15:01::
incorrect wsd for country.n.Finance.19666 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.857 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.9038 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.19686 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.877 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.9149 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.19701 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.881 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.9245 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.19714 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.899 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.9611 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.20143 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.907 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.9760 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.20383 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.927 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.10051 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.20623 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.944 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.10376 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.21007 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.959 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.10663 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.21205 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.989 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.10858 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.21850 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1006 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.11172 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.22429 | found not found , correct is country%1:14:00::
linkup key country.n.Sports.1028 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.11592 | found state%1:14:00:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.22514 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1049 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.11844 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.22594 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1057 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.11848 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.22860 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1085 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.11996 | found area%1:15:01:: , correct is unlisted-sense
incorrect wsd for country.n.Finance.23112 | found state%1:14:00:: , correct is country%1:15:00::
incorrect wsd for country.n.Sports.1113 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.12082 | found country-style%5:00:00:rural:00 , correct is country%1:14:00::
incorrect wsd for country.n.Finance.23546 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1147 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.12206 | found nation%1:14:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.23608 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Sports.1205 | found state%1:14:00:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.12270 | found area%1:15:01:: , correct is unlisted-sense
incorrect wsd for country.n.Finance.23771 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1229 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.12414 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.24602 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1233 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.12555 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.24760 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1242 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.12686 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.25031 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1297 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.12845 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.25143 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1346 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.13068 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.25151 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1368 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.13081 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.25903 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Sports.1397 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.13571 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.26053 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1403 | found state%1:14:00:: , correct is unlisted-sense
incorrect wsd for country.n.bnc.13582 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.26130 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1442 | found nation%1:14:01:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.13830 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.26422 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1512 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.13972 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.26531 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1531 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.14013 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.27698 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1543 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.14113 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.28125 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1584 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.14114 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.28734 | found area%1:15:01:: , correct is country%1:14:00::
linkup key country.n.Sports.1622 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.14359 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.28811 | found area%1:15:01:: , correct is country%1:14:00::
linkup key country.n.Sports.1631 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.14695 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.29167 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1742 | found not found , correct is country%1:15:00::
incorrect wsd for country.n.bnc.14729 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.29496 | found country-style%5:00:00:rural:00 , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1760 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.14787 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.29832 | found nation%1:14:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Sports.1799 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.bnc.15218 | found state%1:14:00:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.30258 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1826 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.15219 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.30791 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1863 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.15480 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.31046 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Sports.1882 | found area%1:15:01:: , correct is country%1:14:01::
incorrect wsd for country.n.bnc.15550 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.31520 | found state%1:14:00:: , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1899 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.16208 | found area%1:15:01:: , correct is country%1:15:00::
incorrect wsd for country.n.Finance.31961 | found nation%1:14:01:: , correct is country%1:14:01::
incorrect wsd for country.n.Sports.1904 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.16434 | found nation%1:14:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.32806 | found not found , correct is country%1:14:00::
linkup key country.n.Sports.1917 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.16459 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.32821 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.1947 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.16503 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.33127 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Sports.1978 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.bnc.16708 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.33144 | found not found , correct is country%1:14:00::
linkup key country.n.Sports.1998 not found in gold standard clean dataset
incorrect wsd for country.n.bnc.16834 | found area%1:15:01:: , correct is country%1:15:01::
incorrect wsd for country.n.Finance.33696 | found not found , correct is country%1:14:00::
incorrect wsd for country.n.Sports.2034 | found area%1:15:01:: , correct is country%1:14:00::
incorrect wsd for country.n.bnc.16942 | found nation%1:14:01:: , correct is country%1:14:00::
incorrect wsd for country.n.Finance.33814 | found area%1:15:01:: , correct is country%1:14:00::
